month,is_monsoon,rainfall_7day_mm,river_level_m,temperature_c,soil_moisture_pct,flood_risk_score,drought_risk_score
2,0,3.7,1.65,24.3,31.1,33.4,65.9
10,0,100.0,2.95,28.6,40.9,78.1,40.3
8,1,87.4,4.92,37.2,29.1,92.3,69.8
6,1,157.9,4.99,29.0,48.1,100.0,22.2
6,1,134.9,6.14,26.6,48.1,100.0,31.1
11,0,16.8,1.59,20.0,40.5,21.4,30.0
2,0,8.0,0.82,19.3,38.3,6.8,33.8
9,1,159.1,6.84,32.6,56.9,100.0,12.8
3,0,62.2,2.7,29.7,39.0,44.6,41.7
2,0,6.9,2.78,19.8,37.3,29.5,36.5
7,1,217.4,7.78,30.4,56.8,100.0,19.0
12,0,17.6,1.37,21.3,30.4,9.6,47.6
9,1,173.2,6.11,30.4,48.8,100.0,11.2
10,0,55.8,2.69,26.2,34.0,44.6,30.8
9,1,241.3,8.44,33.6,46.5,100.0,27.0
10,0,62.2,3.01,30.1,30.2,60.4,47.1
7,1,156.4,5.93,33.7,54.5,100.0,36.9
2,0,16.2,1.7,19.6,38.6,32.2,17.8
11,0,33.7,2.14,14.7,41.4,35.9,14.6
6,1,76.8,5.02,30.6,39.0,91.6,45.5
7,1,239.3,7.49,29.1,52.8,100.0,12.2
5,0,7.5,1.41,26.7,31.2,4.1,44.7
3,0,77.2,2.7,25.3,47.7,55.6,12.2
12,0,32.3,1.81,19.9,38.3,34.2,30.8
10,0,86.1,2.38,24.4,34.5,53.1,38.0
8,1,193.1,6.11,27.8,54.7,100.0,19.2
5,0,51.5,3.43,30.1,40.1,47.8,44.7
10,0,71.0,2.8,24.6,42.3,47.9,37.2
7,1,160.6,6.33,31.0,42.2,100.0,35.7
6,1,119.5,3.6,33.4,53.1,78.9,46.2
6,1,157.7,6.19,33.3,40.8,100.0,37.8
3,0,76.5,2.93,29.0,37.1,42.6,29.7
2,0,6.6,1.34,20.8,29.2,7.0,40.9
7,1,117.9,5.17,32.8,36.3,94.8,47.0
11,0,0.0,1.2,23.4,29.0,16.4,52.6
1,0,19.3,0.61,21.1,39.2,12.0,20.9
11,0,21.0,2.47,15.4,47.3,31.3,12.4
10,0,77.6,3.2,25.7,39.2,65.7,41.6
4,0,101.9,3.35,28.7,37.2,71.0,38.3
8,1,186.8,5.86,29.4,56.9,100.0,11.7
2,0,19.3,1.0,24.1,36.2,9.5,57.1
10,0,80.0,3.23,26.8,41.7,64.1,26.5
9,1,173.0,7.13,31.2,52.4,100.0,33.1
5,0,52.5,2.67,29.8,33.5,31.1,59.7
1,0,39.4,1.46,19.5,40.8,23.7,24.0
12,0,10.0,1.84,20.4,34.2,28.3,36.4
6,1,128.7,5.24,33.2,48.1,100.0,37.1
11,0,19.8,2.41,16.3,51.1,34.0,15.9
9,1,199.4,7.05,30.3,56.6,100.0,9.6
10,0,23.6,0.18,29.1,30.3,0.0,53.0
10,0,107.0,3.97,27.2,45.6,82.2,26.1
3,0,66.9,2.24,30.7,32.2,39.7,49.5
5,0,33.3,1.31,23.1,40.4,23.9,32.2
6,1,271.5,8.02,26.8,71.5,100.0,0.0
6,1,228.2,7.51,32.9,55.8,100.0,17.1
1,0,1.1,0.54,22.2,36.9,0.0,35.7
7,1,316.8,9.46,30.5,73.2,100.0,0.0
2,0,22.2,2.4,21.0,31.7,48.4,35.1
9,1,179.2,6.31,32.9,52.3,100.0,22.9
9,1,302.4,8.23,29.0,73.4,100.0,0.0
12,0,16.8,1.25,18.2,42.7,5.6,20.6
9,1,177.8,6.87,31.5,55.7,100.0,26.2
5,0,48.2,1.56,29.3,33.3,32.4,62.1
12,0,21.4,2.57,17.1,37.2,40.3,20.5
5,0,85.7,3.12,26.5,41.7,59.2,33.1
4,0,70.5,2.85,26.4,41.3,63.5,49.6
11,0,6.3,0.6,21.0,36.5,3.6,38.8
5,0,74.3,2.9,27.0,41.1,60.8,39.7
1,0,14.2,2.15,18.6,36.8,35.9,27.1
6,1,77.3,3.44,34.1,39.3,41.1,58.7
10,0,21.4,2.23,25.7,29.3,30.2,49.6
3,0,88.7,3.33,26.3,54.7,59.0,8.8
6,1,0.0,2.31,27.0,32.2,23.1,51.3
2,0,17.3,2.36,18.2,32.4,45.1,22.6
9,1,143.2,4.24,32.3,46.6,87.8,35.1
6,1,280.7,8.52,31.8,70.5,100.0,0.0
4,0,53.7,3.55,28.5,33.5,49.5,52.2
3,0,91.8,4.2,28.4,33.6,69.9,42.7
7,1,149.4,5.92,36.2,38.2,100.0,37.7
9,1,188.8,6.29,29.1,57.7,100.0,8.6
12,0,23.1,1.58,16.0,31.9,22.6,31.4
6,1,144.4,5.41,28.4,41.7,100.0,38.0
2,0,26.0,2.35,18.2,42.0,35.7,16.8
10,0,37.2,1.76,24.6,34.8,23.9,32.5
8,1,202.7,7.21,31.2,51.9,100.0,34.8
9,1,251.0,9.0,34.1,57.9,100.0,14.0
2,0,22.3,1.91,23.8,26.9,37.5,48.2
4,0,133.2,3.36,28.3,49.8,72.5,18.6
10,0,44.8,1.59,32.4,26.8,19.3,64.6
10,0,24.5,2.46,26.1,30.1,31.4,63.6
6,1,103.4,4.73,26.9,45.7,100.0,30.9
10,0,91.8,3.86,29.6,38.8,79.3,50.0
11,0,20.5,1.59,15.4,37.2,6.0,22.2
5,0,73.4,3.47,25.1,31.0,46.3,31.6
11,0,2.6,1.46,21.3,35.2,8.8,33.6
4,0,95.3,2.97,26.7,43.3,61.2,22.5
3,0,29.6,1.85,26.5,30.6,25.4,51.4
9,1,269.2,7.37,28.0,62.8,100.0,4.4
8,1,400.0,11.89,31.0,85.3,100.0,0.0
2,0,19.0,1.82,22.5,37.2,36.3,35.3
10,0,89.2,3.67,27.0,42.2,77.0,27.4
3,0,53.7,2.25,24.9,46.3,41.3,34.4
10,0,10.3,1.07,23.9,36.0,19.1,33.1
1,0,8.4,1.53,18.0,36.3,4.7,21.0
10,0,33.9,2.84,28.0,36.4,44.9,55.4
10,0,22.2,1.63,27.9,31.3,21.8,51.0
10,0,126.8,3.51,25.0,49.3,80.6,16.3
8,1,201.0,6.81,25.5,66.3,100.0,0.0
6,1,209.2,7.18,32.1,51.3,100.0,26.3
9,1,156.2,6.81,28.8,50.5,100.0,23.0
4,0,64.3,3.0,28.7,42.6,58.7,35.0
10,0,101.8,3.92,25.1,46.7,88.0,18.8
7,1,177.5,6.68,28.5,52.0,100.0,15.4
6,1,220.9,6.43,31.4,49.5,100.0,20.9
7,1,164.9,5.42,36.9,33.9,100.0,49.6
7,1,153.7,5.12,32.9,57.1,100.0,25.5
1,0,0.0,0.7,20.3,35.3,2.6,37.6
2,0,0.0,1.98,20.9,30.4,29.5,41.6
3,0,61.4,2.9,22.6,42.9,52.3,21.5
2,0,15.6,1.86,17.2,33.8,27.3,37.8
6,1,81.0,2.76,24.7,40.7,60.5,27.1
9,1,177.3,7.48,35.3,43.6,100.0,38.8
8,1,184.1,5.85,34.8,42.7,100.0,19.8
6,1,14.0,4.21,32.0,16.0,80.6,72.5
11,0,4.9,0.73,20.3,26.5,6.2,33.9
7,1,211.4,6.44,27.1,65.1,100.0,0.0
1,0,19.3,0.56,19.5,32.4,5.4,53.8
10,0,31.9,2.36,31.5,32.3,39.3,61.1
7,1,192.2,5.88,31.3,58.6,100.0,26.1
8,1,258.7,7.23,29.6,65.2,100.0,4.7
7,1,239.8,6.67,26.6,63.2,100.0,3.4
7,1,172.7,6.62,34.5,49.0,100.0,31.2
2,0,9.9,2.12,19.8,33.5,43.0,48.7
7,1,131.5,6.42,26.6,54.5,100.0,24.7
10,0,85.4,2.8,24.7,52.4,61.8,22.3
4,0,76.4,3.16,23.8,49.7,59.5,25.4
8,1,228.5,6.5,30.7,49.0,100.0,15.0
1,0,16.5,1.63,20.5,33.9,26.0,36.6
5,0,97.0,3.13,25.7,44.0,67.8,28.1
6,1,187.3,6.72,32.9,54.1,100.0,26.8
12,0,23.6,2.58,20.2,28.8,42.5,51.9
3,0,98.7,4.07,29.7,32.4,84.2,35.3
4,0,43.5,1.86,26.1,42.2,37.3,47.7
5,0,10.3,2.31,34.6,21.1,20.2,74.1
12,0,32.0,2.11,18.6,32.5,37.9,40.7
11,0,17.8,1.66,17.7,33.0,35.9,27.8
1,0,0.0,1.07,17.4,38.0,8.6,32.3
3,0,46.4,2.09,26.5,31.7,45.0,45.0
10,0,95.5,4.45,22.7,47.4,79.9,5.8
1,0,11.9,1.92,20.7,30.3,23.8,53.7
11,0,9.4,1.79,15.2,30.5,16.2,20.4
4,0,116.2,3.67,27.4,52.6,88.7,23.9
12,0,3.5,3.04,16.6,39.2,58.2,17.4
4,0,43.7,3.16,26.0,34.0,51.5,33.4
6,1,196.3,6.19,32.5,50.8,100.0,22.1
8,1,210.1,6.74,36.8,59.4,100.0,20.2
2,0,20.5,1.78,17.3,42.2,25.6,13.3
7,1,250.2,7.79,30.6,68.8,100.0,0.0
7,1,195.3,6.19,29.2,53.0,100.0,3.2
10,0,86.1,3.49,24.8,43.3,60.5,29.6
12,0,12.1,2.61,18.2,39.3,39.7,26.9
8,1,184.8,5.61,33.1,48.5,100.0,8.4
5,0,73.5,2.29,25.8,39.9,39.0,30.7
5,0,77.1,2.75,32.6,32.5,56.8,58.4
6,1,239.5,7.23,32.0,62.3,100.0,0.0
10,0,88.3,4.47,24.5,37.1,82.4,35.9
4,0,71.5,3.53,26.1,42.7,67.4,37.4
3,0,43.3,2.93,25.0,38.1,63.2,30.9
5,0,72.2,2.79,29.0,36.6,55.2,44.4
1,0,14.7,1.62,15.9,41.7,27.6,27.4
2,0,17.1,0.97,16.6,37.4,22.4,18.0
2,0,39.3,2.75,18.5,37.7,42.9,24.0
10,0,52.7,2.85,28.7,37.7,40.7,55.3
9,1,212.5,7.72,34.1,57.5,100.0,13.2
9,1,262.3,7.82,34.5,59.2,100.0,15.9
6,1,187.5,6.37,32.3,49.3,100.0,17.0
9,1,360.0,10.0,30.8,78.5,100.0,0.0
2,0,10.8,2.25,22.0,31.3,33.2,45.6
11,0,18.6,0.99,17.1,46.7,3.7,0.2
7,1,118.5,5.51,26.4,48.2,100.0,19.4
12,0,11.1,1.71,21.1,34.9,16.1,41.0
2,0,17.7,1.22,17.5,34.0,6.3,31.0
6,1,245.2,6.35,30.8,65.8,100.0,0.0
9,1,204.6,6.71,31.3,52.6,100.0,9.7
6,1,277.0,9.11,31.6,63.0,100.0,6.2
6,1,172.7,7.16,33.3,53.1,100.0,24.9
2,0,11.3,1.94,22.1,36.0,28.5,43.3
5,0,159.2,5.86,27.5,39.4,100.0,29.3
3,0,83.0,3.13,25.9,40.9,64.2,29.5
4,0,46.3,3.0,27.3,35.8,43.2,53.8
9,1,126.5,4.96,29.5,43.7,100.0,27.8
8,1,107.4,4.54,30.5,42.5,88.5,48.0
8,1,252.1,7.34,37.5,48.7,100.0,38.4
5,0,58.0,1.42,27.5,22.6,19.8,61.5
12,0,16.4,2.6,21.1,30.7,57.6,38.3
2,0,14.3,1.4,18.2,39.0,11.2,48.3
5,0,94.1,2.9,29.6,24.4,55.1,52.3
2,0,5.7,0.91,21.9,29.1,10.7,46.1
5,0,34.5,2.07,28.9,22.4,20.6,59.8
12,0,17.5,2.91,20.5,35.0,31.1,26.2
5,0,89.8,4.55,29.6,49.6,83.8,44.5
11,0,18.7,0.88,23.2,33.2,13.1,37.6
6,1,117.7,4.84,31.7,41.7,93.6,47.4
9,1,232.2,6.72,30.7,64.5,100.0,14.1
6,1,122.7,5.75,33.2,41.9,100.0,47.4
4,0,52.8,2.73,24.7,37.1,40.3,32.2
10,0,38.8,1.9,25.2,40.3,29.7,35.9
12,0,29.3,2.13,19.9,40.9,21.1,6.5
4,0,90.9,3.03,22.6,47.0,63.3,19.6
10,0,90.0,4.27,29.1,39.5,82.9,46.4
4,0,111.2,4.05,24.6,45.3,88.3,21.0
9,1,396.6,11.03,29.8,90.2,100.0,0.0
10,0,13.6,0.17,26.5,29.2,0.0,50.6
6,1,123.1,5.12,31.1,49.7,94.0,42.0
9,1,132.6,6.6,30.1,40.5,100.0,34.8
4,0,41.9,3.13,26.8,42.0,65.4,55.4
1,0,3.1,0.45,19.9,37.0,0.0,30.0
2,0,11.7,1.55,18.9,31.8,6.7,36.5
6,1,86.3,3.71,29.1,42.2,65.6,35.2
11,0,18.7,2.9,22.7,31.4,30.1,59.0
2,0,15.6,1.96,14.7,40.7,17.5,20.2
6,1,217.0,6.58,30.5,55.7,100.0,29.7
9,1,219.1,7.1,29.8,58.3,100.0,5.8
3,0,89.9,1.73,28.0,45.8,39.4,45.6
9,1,151.2,5.07,27.4,53.4,100.0,18.3
4,0,140.0,4.32,25.8,44.8,87.0,28.2
10,0,77.7,3.56,26.7,34.9,67.0,30.2
7,1,36.6,2.27,33.7,29.9,26.6,67.7
7,1,102.8,4.53,31.8,41.7,95.0,34.1
3,0,12.6,2.36,24.0,29.3,26.2,49.8
6,1,181.3,5.46,29.8,61.3,100.0,0.4
11,0,13.7,1.91,22.2,38.3,22.1,36.4
1,0,9.8,1.74,17.0,34.8,27.0,37.6
10,0,136.4,5.26,26.8,45.4,100.0,28.3
6,1,222.3,7.01,31.0,57.4,100.0,1.9
9,1,235.9,7.32,30.0,59.7,100.0,0.0
8,1,108.3,5.38,37.7,42.3,90.7,58.3
6,1,103.1,3.97,30.0,46.4,76.6,47.8
4,0,71.2,2.79,28.1,38.4,50.3,33.8
8,1,193.3,6.29,29.1,59.1,100.0,27.6
2,0,0.0,1.42,21.3,37.1,18.8,38.1
8,1,166.1,6.53,33.2,48.7,100.0,15.5
2,0,15.2,2.14,18.5,39.5,24.5,15.6
8,1,163.4,5.52,30.9,52.8,100.0,29.8
8,1,117.4,5.13,28.8,47.0,100.0,31.0
2,0,9.1,2.58,17.1,33.8,23.9,41.8
10,0,64.2,2.28,29.6,32.6,35.7,40.3
5,0,73.0,3.05,25.6,39.0,67.0,36.2
10,0,90.0,3.18,21.0,43.2,50.4,19.7
1,0,26.9,2.0,24.4,27.1,24.3,46.7
3,0,60.3,1.73,25.0,42.4,26.6,30.4
6,1,144.9,6.44,30.4,49.2,100.0,25.0
3,0,84.4,2.72,31.1,31.1,45.9,52.6
4,0,90.2,3.92,26.6,41.0,71.3,36.0
8,1,146.6,5.26,30.6,46.6,100.0,31.9
2,0,23.7,1.6,16.9,40.9,22.8,31.9
9,1,255.4,8.54,26.9,61.4,100.0,0.0
2,0,29.2,2.68,19.6,31.9,33.8,19.0
3,0,128.7,4.2,27.9,49.6,96.4,32.7
8,1,113.3,5.42,31.8,33.9,100.0,38.8
10,0,70.5,2.74,25.8,38.8,57.0,33.2
3,0,70.4,2.9,27.1,37.3,50.1,35.2
4,0,66.8,2.44,22.4,41.5,46.8,22.4
12,0,7.9,2.2,21.2,35.5,28.0,26.0
12,0,0.0,1.08,20.4,41.7,21.6,28.4
7,1,187.1,7.33,35.9,41.3,100.0,44.5
6,1,120.8,4.93,31.0,47.7,99.9,33.9
5,0,72.8,2.97,24.6,28.7,48.5,44.5
8,1,118.9,5.53,30.9,50.1,100.0,28.3
8,1,95.3,4.62,30.2,29.9,87.7,55.6
4,0,77.7,2.88,28.1,51.4,63.5,27.3
1,0,16.7,1.82,20.1,34.5,18.5,17.8
2,0,21.4,2.46,16.9,46.2,40.3,21.3
12,0,39.0,1.88,15.9,48.5,33.7,18.5
6,1,201.4,6.65,31.7,52.7,100.0,15.3
6,1,217.4,7.05,34.5,53.2,100.0,32.7
6,1,97.0,5.16,31.2,35.4,89.8,39.7
10,0,27.5,1.99,29.0,34.8,18.0,57.9
1,0,32.4,3.23,22.5,34.7,52.3,51.6
1,0,4.8,1.5,20.7,30.1,8.1,41.2
4,0,35.5,2.07,25.0,38.0,28.4,38.3
6,1,177.0,6.14,31.5,46.9,100.0,26.3
9,1,173.1,5.37,34.0,47.1,100.0,46.1
6,1,110.5,4.29,32.3,41.3,76.1,46.1
6,1,156.5,5.51,32.9,44.0,100.0,52.4
12,0,28.5,2.75,18.8,36.7,47.1,30.9
2,0,6.1,1.6,19.5,43.0,21.8,23.8
7,1,72.7,3.86,30.7,35.3,67.5,44.5
7,1,252.6,8.49,30.9,61.4,100.0,4.7
6,1,217.9,7.99,33.9,54.7,100.0,4.5
10,0,49.5,3.24,21.1,42.8,50.9,22.5
4,0,17.8,1.34,27.1,25.8,15.5,52.4
12,0,6.8,1.34,19.8,37.3,19.5,35.5
4,0,68.2,3.95,23.6,42.7,75.2,44.5
7,1,269.8,8.24,32.7,55.4,100.0,10.3
7,1,100.2,4.54,29.2,50.6,85.8,15.6
11,0,14.1,2.21,19.1,44.1,28.2,18.9
6,1,232.0,7.94,35.6,52.3,100.0,26.3
4,0,0.0,1.16,29.5,20.8,7.4,68.4
1,0,26.4,2.16,21.4,37.9,30.6,46.8
5,0,31.0,2.68,28.0,25.2,54.1,64.1
10,0,81.0,2.42,26.6,47.7,53.0,37.6
1,0,17.7,1.86,25.0,30.3,22.4,46.6
11,0,26.9,1.37,22.0,44.5,14.6,39.2
7,1,222.4,6.56,29.1,55.9,100.0,1.6
2,0,0.0,1.16,16.5,36.2,11.6,35.9
4,0,44.1,2.67,28.4,40.2,45.3,42.7
7,1,190.6,6.32,30.9,52.3,100.0,8.3
4,0,63.6,2.38,23.4,42.2,50.6,34.4
2,0,20.3,1.94,21.1,41.6,32.9,42.5
8,1,240.8,6.83,30.3,59.1,100.0,3.2
9,1,226.9,7.49,32.3,51.9,100.0,30.5
2,0,12.6,2.43,21.1,27.7,37.2,29.1
4,0,9.1,1.63,25.5,33.9,13.5,38.6
3,0,55.0,2.48,28.6,37.3,57.2,44.5
8,1,212.1,7.17,29.8,63.3,100.0,3.6
9,1,96.0,3.4,29.9,39.1,68.8,35.9
9,1,228.6,7.59,29.7,53.4,100.0,11.9
12,0,25.0,3.86,22.8,23.7,58.6,42.8
10,0,74.2,2.91,26.3,54.4,53.2,23.0
4,0,0.0,1.43,30.4,28.3,13.9,66.6
2,0,0.9,1.96,24.5,31.3,26.1,43.6
8,1,325.2,10.19,29.2,76.9,100.0,0.0
11,0,9.0,2.26,12.7,34.0,30.5,14.8
12,0,0.0,0.21,22.6,27.9,1.9,37.7
3,0,110.8,4.05,26.1,54.4,73.7,26.1
3,0,70.4,4.45,24.8,44.0,75.5,44.1
1,0,27.2,2.42,18.5,35.4,43.6,37.6
2,0,18.0,1.17,19.0,31.4,12.4,36.9
7,1,215.3,7.18,34.2,52.3,100.0,18.5
